GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",1751,404,1511,396,696,185,15,24,0,11,565,322,0,11,0,11,235,182,0,11,235,182,240,175,151,108,0,11,0,11,14,23,0,11,75,85,0,11,0,11,0,11
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1252,655,1252,655,60,92,27,42,0,11,1165,658,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",3130,1286,1322,672,24,38,0,11,0,11,1279,673,0,11,0,11,19,30,0,11,19,30,1808,1022,220,169,0,11,0,11,0,11,0,11,1588,1018,0,11,0,11,0,11
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",786,571,786,571,106,88,0,11,32,44,648,557,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",928,580,788,559,111,83,59,61,0,11,618,560,0,11,0,11,0,11,0,11,0,11,140,137,126,133,14,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",3929,1867,2524,1812,0,11,1392,1824,13,20,1119,519,0,11,0,11,0,11,0,11,0,11,1405,677,81,70,0,11,0,11,0,11,0,11,1324,678,0,11,0,11,0,11
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",2529,779,1720,611,131,126,26,35,0,11,1528,554,0,11,0,11,35,54,0,11,35,54,809,546,315,306,0,11,0,11,51,82,0,11,402,470,41,66,0,11,41,66
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",8794,914,8213,854,6090,915,209,158,0,16,1805,490,0,16,57,93,52,58,0,16,52,58,581,351,334,181,5,4,0,16,0,16,0,16,171,205,71,95,60,93,11,24
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",1070,388,1048,377,3,8,3,6,0,11,967,370,0,11,0,11,75,128,0,11,75,128,22,37,0,11,0,11,0,11,0,11,0,11,0,11,22,37,0,11,22,37
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",1393,453,1393,453,10,17,5,10,0,11,1272,454,0,11,106,167,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",1811,483,1779,485,40,70,0,11,0,11,1739,482,0,11,0,11,0,11,0,11,0,11,32,49,32,49,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",2020,480,1741,453,291,174,0,11,0,11,1346,484,6,11,0,11,98,96,54,79,44,54,279,243,166,160,0,11,0,11,0,11,0,11,113,182,0,11,0,11,0,11
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",1947,455,1947,455,92,58,76,121,11,19,1514,358,0,11,224,296,30,47,0,11,30,47,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",1224,398,1203,400,96,141,0,11,0,11,1107,385,0,11,0,11,0,11,0,11,0,11,21,37,0,11,0,11,0,11,0,11,0,11,21,37,0,11,0,11,0,11
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",1626,218,1493,219,1210,208,30,33,0,11,207,98,0,11,8,12,38,25,0,11,38,25,133,83,50,35,0,11,0,11,0,11,0,11,83,75,0,11,0,11,0,11
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",1528,174,1124,186,959,171,40,29,0,11,80,57,0,11,0,11,45,39,0,11,45,39,404,132,140,85,23,34,0,11,13,19,0,11,125,66,103,78,91,78,12,13
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",1796,474,595,346,153,132,399,324,0,11,34,59,0,11,0,11,9,15,0,11,9,15,1201,436,203,229,22,29,0,11,0,11,0,11,946,428,30,55,30,55,0,11
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",1705,705,640,291,25,29,180,111,0,11,435,293,0,11,0,11,0,11,0,11,0,11,1065,653,622,618,0,11,0,11,0,11,0,11,432,276,11,18,11,18,0,11
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",2550,657,801,340,84,76,423,232,24,27,242,183,0,11,0,11,28,37,12,26,16,26,1749,589,537,330,204,169,14,25,0,11,0,11,867,505,127,177,19,28,108,174
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",1853,295,893,163,163,63,68,64,0,11,632,144,0,11,0,11,30,34,0,11,30,34,960,253,332,169,0,11,0,11,0,11,0,11,487,216,141,121,82,97,59,73
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",825,232,798,233,705,240,41,51,0,11,52,41,0,11,0,11,0,11,0,11,0,11,27,28,16,23,0,11,0,11,0,11,0,11,11,15,0,11,0,11,0,11
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",1077,214,965,209,699,188,0,11,0,11,206,122,0,11,28,39,32,37,0,11,32,37,112,82,53,66,41,52,0,11,0,11,0,11,0,11,18,29,0,11,18,29
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",2119,352,1905,318,1493,286,42,50,0,11,359,188,0,11,0,11,11,19,0,11,11,19,214,187,38,45,0,11,0,11,0,11,0,11,89,131,87,125,19,35,68,91
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",2255,392,2006,356,1396,331,43,73,0,11,494,182,0,11,11,19,62,47,21,36,41,31,249,123,230,119,19,34,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",1628,293,1414,276,1051,255,73,117,0,11,218,134,0,11,0,11,72,58,7,12,65,56,214,149,198,151,7,11,0,11,0,11,0,11,0,11,9,13,0,11,9,13
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",1527,191,1369,195,1027,170,37,36,0,11,272,110,0,11,0,11,33,26,0,11,33,26,158,87,103,68,0,11,0,11,0,11,0,11,30,34,25,23,16,18,9,14
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",1500,274,1232,237,549,174,13,21,0,11,592,171,0,11,0,11,78,68,0,11,78,68,268,149,9,14,0,11,0,11,27,34,0,11,232,148,0,11,0,11,0,11
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",1432,345,1034,310,413,200,170,98,0,11,349,232,0,11,49,69,53,53,0,11,53,53,398,158,117,65,14,22,0,11,0,11,0,11,259,144,8,13,8,13,0,11
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",2811,508,2483,451,1763,344,139,66,0,11,569,266,0,11,0,11,12,20,0,11,12,20,328,150,214,111,0,11,0,11,0,11,0,11,114,94,0,11,0,11,0,11
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",2699,435,2400,356,1409,304,225,112,0,11,698,231,0,11,0,11,68,87,0,11,68,87,299,268,230,243,13,22,0,11,56,78,0,11,0,11,0,11,0,11,0,11
1500000US360610015013,360610015013,"Block Group 3, Census Tract 15.01, New York County, New York",992,256,953,253,575,185,0,11,0,11,367,158,0,11,0,11,11,18,0,11,11,18,39,62,39,62,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015020,360610015020,"Block Group 0, Census Tract 15.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015021,360610015021,"Block Group 1, Census Tract 15.02, New York County, New York",3226,469,3089,458,2142,414,162,109,20,28,627,185,0,11,0,11,138,73,11,22,127,64,137,107,120,96,0,11,0,11,0,11,0,11,17,33,0,11,0,11,0,11
1500000US360610015022,360610015022,"Block Group 2, Census Tract 15.02, New York County, New York",4152,558,3864,573,2721,528,126,95,16,29,980,281,0,11,0,11,21,27,0,11,21,27,288,146,171,107,0,11,0,11,0,11,0,11,116,116,1,2,0,11,1,2
1500000US360610015023,360610015023,"Block Group 3, Census Tract 15.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610016001,360610016001,"Block Group 1, Census Tract 16, New York County, New York",2601,550,2529,545,133,138,0,11,0,11,2242,496,0,11,0,11,154,133,0,11,154,133,72,93,14,23,0,11,0,11,0,11,0,11,20,32,38,58,38,58,0,11
1500000US360610016002,360610016002,"Block Group 2, Census Tract 16, New York County, New York",752,346,607,341,113,181,0,11,0,11,494,299,0,11,0,11,0,11,0,11,0,11,145,114,91,108,32,53,0,11,0,11,0,11,22,41,0,11,0,11,0,11
1500000US360610016003,360610016003,"Block Group 3, Census Tract 16, New York County, New York",1778,619,1735,606,105,111,0,11,0,11,1618,619,0,11,0,11,12,27,0,11,12,27,43,68,0,11,0,11,0,11,0,11,0,11,43,68,0,11,0,11,0,11
1500000US360610016004,360610016004,"Block Group 4, Census Tract 16, New York County, New York",1400,537,1385,537,445,259,22,35,0,11,872,499,0,11,46,73,0,11,0,11,0,11,15,25,15,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610016005,360610016005,"Block Group 5, Census Tract 16, New York County, New York",1019,416,916,400,232,123,0,11,0,11,684,396,0,11,0,11,0,11,0,11,0,11,103,104,76,93,0,11,0,11,0,11,0,11,27,43,0,11,0,11,0,11
1500000US360610018001,360610018001,"Block Group 1, Census Tract 18, New York County, New York",1094,381,822,339,193,104,60,95,0,11,569,311,0,11,0,11,0,11,0,11,0,11,272,196,55,63,0,11,0,11,0,11,0,11,217,185,0,11,0,11,0,11
1500000US360610018002,360610018002,"Block Group 2, Census Tract 18, New York County, New York",469,210,458,212,194,113,22,36,0,11,242,195,0,11,0,11,0,11,0,11,0,11,11,17,11,17,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610018003,360610018003,"Block Group 3, Census Tract 18, New York County, New York",1799,462,1571,457,1063,359,36,36,0,11,446,217,0,11,0,11,26,35,0,11,26,35,228,137,78,87,38,60,0,11,0,11,0,11,102,104,10,20,10,20,0,11
1500000US360610018004,360610018004,"Block Group 4, Census Tract 18, New York County, New York",924,391,803,393,201,138,100,112,0,11,502,342,0,11,0,11,0,11,0,11,0,11,121,77,85,81,0,11,0,11,0,11,0,11,36,44,0,11,0,11,0,11
1500000US360610018005,360610018005,"Block Group 5, Census Tract 18, New York County, New York",841,287,748,257,314,197,51,55,5,12,372,171,0,11,0,11,6,12,0,11,6,12,93,68,84,69,5,10,0,11,0,11,0,11,4,9,0,11,0,11,0,11
1500000US360610018006,360610018006,"Block Group 6, Census Tract 18, New York County, New York",1829,561,1829,561,117,85,22,37,0,11,1690,562,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610018007,360610018007,"Block Group 7, Census Tract 18, New York County, New York",1370,654,1278,669,476,559,0,11,0,11,716,388,0,11,0,11,86,141,0,11,86,141,92,88,64,81,0,11,0,11,0,11,0,11,28,33,0,11,0,11,0,11
1500000US360610020000,360610020000,"Block Group 0, Census Tract 20, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610020001,360610020001,"Block Group 1, Census Tract 20, New York County, New York",2363,487,932,330,14,20,246,108,0,11,672,321,0,11,0,11,0,11,0,11,0,11,1431,364,468,212,135,99,0,11,0,11,0,11,707,314,121,79,83,71,38,37
1500000US360610020002,360610020002,"Block Group 2, Census Tract 20, New York County, New York",1955,417,887,330,66,67,399,202,0,11,422,217,0,11,0,11,0,11,0,11,0,11,1068,309,471,204,8,12,0,11,50,75,0,11,503,259,36,34,18,30,18,19
1500000US360610020003,360610020003,"Block Group 3, Census Tract 20, New York County, New York",546,166,233,129,16,19,110,80,0,11,107,108,0,11,0,11,0,11,0,11,0,11,313,120,87,72,77,86,0,11,0,11,0,11,108,77,41,45,0,11,41,45
1500000US360610021001,360610021001,"Block Group 1, Census Tract 21, New York County, New York",3374,487,3287,504,2793,527,69,57,0,11,268,149,0,11,0,11,157,116,0,11,157,116,87,74,84,73,2,5,0,11,0,11,0,11,1,3,0,11,0,11,0,11
1500000US360610021002,360610021002,"Block Group 2, Census Tract 21, New York County, New York",3361,368,3220,367,2285,368,29,37,0,11,753,198,0,11,0,11,153,78,0,11,153,78,141,71,122,64,0,11,0,11,0,11,0,11,19,30,0,11,0,11,0,11
1500000US360610022011,360610022011,"Block Group 1, Census Tract 22.01, New York County, New York",1831,454,961,315,397,140,168,116,0,11,366,299,0,11,0,11,30,35,0,11,30,35,870,428,207,119,81,131,0,11,0,11,0,11,582,399,0,11,0,11,0,11
1500000US360610022012,360610022012,"Block Group 2, Census Tract 22.01, New York County, New York",994,308,889,307,369,177,137,173,0,11,271,178,0,11,0,11,112,88,9,15,103,87,105,58,74,46,31,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610022013,360610022013,"Block Group 3, Census Tract 22.01, New York County, New York",1567,452,633,369,12,20,454,343,0,11,167,163,0,11,0,11,0,11,0,11,0,11,934,345,335,255,0,11,0,11,0,11,0,11,560,341,39,61,39,61,0,11
1500000US360610022014,360610022014,"Block Group 4, Census Tract 22.01, New York County, New York",2469,445,1449,311,295,116,295,202,0,11,831,251,0,11,0,11,28,49,28,49,0,11,1020,347,392,190,32,36,32,53,0,11,0,11,428,301,136,162,36,57,100,148
1500000US360610022021,360610022021,"Block Group 1, Census Tract 22.02, New York County, New York",2019,197,1725,195,1101,149,86,55,0,11,482,155,0,11,0,11,56,42,0,11,56,42,294,116,129,85,9,21,17,20,0,11,0,11,130,88,9,18,0,11,9,18
1500000US360610024000,360610024000,"Block Group 0, Census Tract 24, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610024001,360610024001,"Block Group 1, Census Tract 24, New York County, New York",3998,787,2146,844,445,228,519,303,0,11,444,224,0,11,674,829,64,78,0,11,64,78,1852,498,527,266,12,18,0,11,24,37,0,11,1225,444,64,66,22,27,42,49
1500000US360610024002,360610024002,"Block Group 2, Census Tract 24, New York County, New York",1559,318,619,297,0,11,306,206,0,11,300,241,0,11,0,11,13,21,0,11,13,21,940,304,436,213,47,80,0,11,0,11,0,11,427,221,30,47,0,11,30,47
1500000US360610025000,360610025000,"Block Group 0, Census Tract 25, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610025001,360610025001,"Block Group 1, Census Tract 25, New York County, New York",3270,561,2135,516,16,27,484,265,410,470,1219,315,0,11,6,10,0,11,0,11,0,11,1135,405,307,165,32,51,0,11,0,11,0,11,796,410,0,11,0,11,0,11
1500000US360610025002,360610025002,"Block Group 2, Census Tract 25, New York County, New York",465,220,362,201,2,5,130,139,0,11,222,247,0,11,0,11,8,12,0,11,8,12,103,92,30,45,19,40,0,11,0,11,0,11,48,47,6,9,0,11,6,9
1500000US360610025003,360610025003,"Block Group 3, Census Tract 25, New York County, New York",1402,488,755,284,17,26,133,124,0,11,605,250,0,11,0,11,0,11,0,11,0,11,647,359,376,304,19,54,0,11,0,11,0,11,247,254,5,8,0,11,5,8
1500000US360610026011,360610026011,"Block Group 1, Census Tract 26.01, New York County, New York",1903,322,1105,280,636,227,188,118,0,11,227,112,0,11,0,11,54,37,0,11,54,37,798,271,216,115,40,39,0,11,0,11,0,11,533,254,9,14,9,14,0,11
1500000US360610026012,360610026012,"Block Group 2, Census Tract 26.01, New York County, New York",2184,391,1008,247,413,121,277,197,0,11,283,145,0,11,0,11,35,35,4,10,31,34,1176,373,452,205,29,23,0,11,0,11,0,11,628,343,67,61,22,22,45,57
1500000US360610026021,360610026021,"Block Group 1, Census Tract 26.02, New York County, New York",1894,383,1288,296,755,211,68,71,0,11,299,197,67,90,0,11,99,96,0,11,99,96,606,338,273,257,0,11,0,11,0,11,0,11,317,250,16,25,0,11,16,25
1500000US360610026022,360610026022,"Block Group 2, Census Tract 26.02, New York County, New York",2372,363,2054,435,1204,329,82,72,39,61,419,307,0,11,0,11,310,262,37,59,273,256,318,194,216,158,1,2,0,11,0,11,0,11,100,127,1,3,0,11,1,3
1500000US360610027001,360610027001,"Block Group 1, Census Tract 27, New York County, New York",1343,189,1323,188,276,85,9,16,15,19,958,196,0,11,0,11,65,40,0,11,65,40,20,24,1,4,0,11,0,11,6,10,0,11,13,21,0,11,0,11,0,11
1500000US360610028001,360610028001,"Block Group 1, Census Tract 28, New York County, New York",1252,496,512,283,239,103,137,206,0,11,123,135,0,11,0,11,13,21,0,11,13,21,740,485,5,9,0,11,0,11,0,11,0,11,686,475,49,77,49,77,0,11
1500000US360610028002,360610028002,"Block Group 2, Census Tract 28, New York County, New York",1305,400,842,374,447,149,97,94,0,11,298,354,0,11,0,11,0,11,0,11,0,11,463,225,262,174,101,131,0,11,0,11,0,11,99,89,1,2,1,2,0,11
1500000US360610028003,360610028003,"Block Group 3, Census Tract 28, New York County, New York",2079,533,923,299,526,217,248,181,0,11,149,122,0,11,0,11,0,11,0,11,0,11,1156,516,443,226,33,37,0,11,0,11,0,11,680,518,0,11,0,11,0,11
1500000US360610028004,360610028004,"Block Group 4, Census Tract 28, New York County, New York",2604,389,1488,369,507,197,508,269,0,11,320,176,0,11,46,73,107,108,27,44,80,99,1116,292,411,192,7,16,8,14,0,11,0,11,555,256,135,135,91,119,44,65
1500000US360610029001,360610029001,"Block Group 1, Census Tract 29, New York County, New York",1284,269,1034,233,143,107,332,112,0,11,527,182,0,11,0,11,32,51,0,11,32,51,250,101,91,45,49,37,0,11,0,11,0,11,110,90,0,11,0,11,0,11
1500000US360610029002,360610029002,"Block Group 2, Census Tract 29, New York County, New York",1770,469,1719,465,0,11,18,32,0,11,1670,466,0,11,0,11,31,38,9,15,22,36,51,66,17,28,0,11,0,11,0,11,0,11,34,57,0,11,0,11,0,11
1500000US360610029003,360610029003,"Block Group 3, Census Tract 29, New York County, New York",1528,429,1489,422,156,102,73,87,0,11,1205,361,0,11,0,11,55,62,34,51,21,35,39,42,39,42,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
